% X                       Y                        sigma11 @ t=5            sigma22 @ t=5            sigma12 @ t=5            D1 @ t=5                 D2 @ t=5
0.1200000000000001        -1.96                    -0.7395811303704934      0.0013867497027609046    -0.009444175012041825    -0.3306221503118598      -0.002144652777496703
0.16000000000000014       -1.96                    -0.7296433056471274      0.0013094907617542534    -0.010880646306506946    -0.32831159311563574     -0.002426884601211897
0.20000000000000018       -1.96                    -0.7179102060614473      0.001363068116277233     -0.012532460336755848    -0.3257304536175255      -0.002704355577049098
0.2400000000000002        -1.96                    -0.7052364729061965      0.0012200431448261898    -0.013713174379838398    -0.32284763511116576     -0.002976910737311749
0.28000000000000025       -1.96                    -0.690932999519074       0.0011899251037618686    -0.015136289890083234    -0.3197063673652143      -0.003244405827134339
0.31999999999999984       -1.96                    -0.6753935919119465      0.0011339936653410737    -0.016410836217699613    -0.31629038437950213     -0.003506810191827924
0.3599999999999999        -1.96                    -0.6586921117400633      0.001054910771507378     -0.017485206181607232    -0.31260568170279246     -0.003763948586413747
0.3999999999999999        -1.96                    -0.6406779344980412      0.0010425305279857314    -0.018948772223493074    -0.30868168121333034     -0.0040157932505879915
0.43999999999999995       -1.96                    -0.6218125075833446      9.345571551672635E-4     -0.019627189437524437    -0.3044727202280051      -0.004262259562318606
0.48                      -1.96                    -0.6018496156578561      8.72926573289759E-4      -0.020717460029775953    -0.30003907393766915     -0.004503264906452531
0.52                      -1.96                    -0.5809807914295287      8.047180971304038E-4     -0.021592201958162652    -0.2953554108058884      -0.004738796900111399
0.56                      -1.96                    -0.5593124695770858      7.290224724079766E-4     -0.02222362211306085     -0.2904273129035083      -0.00496878030926487
0.6000000000000001        -1.96                    -0.5369247485965719      6.460053429539481E-4     -0.023387825428960785    -0.2853050761048862      -0.005193202438781366
0.6400000000000001        -1.96                    -0.5138263563110522      5.860100696866398E-4     -0.023504057458213143    -0.2798955321262877      -0.005412047609494555
0.6800000000000002        -1.96                    -0.4902498205654244      5.006366819188153E-4     -0.02416781766472917     -0.274308507230393       -0.005625297975672128
0.7200000000000002        -1.96                    -0.46617781384593027     4.248387915400144E-4     -0.024572229043413343    -0.26849585015625965     -0.005832958242623178
0.7600000000000002        -1.96                    -0.44174698961366793     3.533486962801445E-4     -0.024713478768955063    -0.26246215981337706     -0.006035052553208485
0.8000000000000003        -1.96                    -0.417162348747411       2.3676139694661993E-4    -0.02541455433209891     -0.25628372592769927     -0.006231584249739373
0.8399999999999999        -1.96                    -0.3922226650223451      1.9541907399453842E-4    -0.025022169978658443    -0.2498122004014287      -0.00642260236510446
0.8799999999999999        -1.96                    -0.3673745916240941      9.766204646320664E-5     -0.025192078145588992    -0.24321463885058967     -0.006608153498438983
0.9199999999999999        -1.96                    -0.3425026128145566      1.8397722967078423E-5    -0.02508590267476793     -0.23641373850217337     -0.006788257428934963
0.96                      -1.96                    -0.31776914138271084     -5.1488059534011976E-5   -0.024721741102042977    -0.22941222389940832     -0.0069630306883433565
1                         -1.96                    -0.29339433774648965     -1.7207170944771866E-4   -0.024865187005495143    -0.22232626611717848     -0.0071324923413894
1.04                      -1.96                    -0.2691791203427306      -2.161623788580723E-4    -0.024007338805065045    -0.21492203107789293     -0.007296747225181657
1.08                      -1.96                    -0.24555261358758615     -3.1184709201136085E-4   -0.02364221274628797     -0.2074548534557107      -0.007455900329475046
1.12                      -1.96                    -0.2224123524698647      -3.902719418260904E-4    -0.02301565627392166     -0.19980221086418687     -0.007609983265086384
1.1600000000000001        -1.96                    -0.19993779472192916     -4.621212943458283E-4    -0.02216495692278543     -0.1919635744978693      -0.00775918898329149
1.2000000000000002        -1.96                    -0.17826347604250678     -5.655147182558554E-4    -0.021740369394814718    -0.18410005464561166     -0.007903550190365219
1.2400000000000002        -1.96                    -0.15734839164691752     -6.217330519598229E-4    -0.02044258894016368     -0.175896196220383       -0.008043212540549127
1.2800000000000002        -1.96                    -0.13742907069734955     -6.975817126919203E-4    -0.019533686487782434    -0.16769367271140107     -0.008178326299403682
1.3200000000000003        -1.96                    -0.11851016358827915     -7.684357425676372E-4    -0.018416123905864015    -0.1593160114510228      -0.008308930109875323
1.3599999999999999        -1.96                    -0.10076916821136174     -8.41474027977485E-4     -0.01714533644196256     -0.15075730546849708     -0.008435267038096272
1.4                       -1.96                    -0.08411432723014474     -8.828636961058824E-4    -0.016082549049192596    -0.14227045122644058     -0.008557379463164885
1.44                      -1.96                    -0.06892683254225175     -9.717106435702602E-4    -0.014533207731254064    -0.13335076561862658     -0.008675432105148637
1.48                      -1.96                    -0.05496395571083455     -0.0010050878488590785   -0.013129984949016724    -0.1245376428940218      -0.008789600896716654
1.52                      -1.96                    -0.04244796402477551     -0.0010531361524738596   -0.011622380344403244    -0.11554781521209984     -0.008899924825263597
1.56                      -1.96                    -0.03150380486347663     -0.0011070557121641176   -0.010090692898385226    -0.10636668287692605     -0.009006663825620195
1.6                       -1.96                    -0.021798699991080295    -0.0010640662080168188   -0.008305327814768323    -0.09744493964138008     -0.009109865555335564
1.6400000000000001        -1.96                    -0.014052774778829602    -0.0011405011866296635   -0.006934983662836458    -0.08782713517833508     -0.009209689564122811
1.6800000000000002        -1.96                    -0.007594365353211216    -0.0010956363694890987   -0.005235433089835276    -0.0785186203932321      -0.009306325864272783
1.7200000000000002        -1.96                    -0.0027622078327932736   -0.0010723053613279476   -0.003627197714010863    -0.06901353095612855     -0.009399805539744788
1.7600000000000002        -1.96                    5.496561381452421E-4     -9.97713782688676E-4     -0.0022609354903260076   -0.059283167821661736    -0.009490412860744368
1.8000000000000003        -1.96                    0.0022693121804032053    -9.765776303922048E-4    -1.602497397626551E-4    -0.050060351746307144    -0.009578211500048783
1.8399999999999999        -1.96                    0.0032762507771571044    -6.407301779750756E-4    3.0719339549649394E-4    -0.03978134301079406     -0.009663384866134564
1.88                      -1.96                    0.0028420971175136607    -3.362662558548334E-4    0.0014786037088981088    -0.030086332308853547    -0.009746292510416088
1.92                      -1.96                    0.001762379433882166     1.0854025120572578E-4    0.0019416022372531275    -0.020145785456591334    -0.009826937236024277
1.96                      -1.96                    0.001240797273444276     0.0012421047658173444    0.0011860419702713482    -0.009906536093136839    -0.009906302418086599
2                         -1.96                    -9.391262895271013E-4    0.00219494178855949      5.892167131154175E-4     -4.4744116140506274E-4   -0.0099847130451792
-2                        -1.92                    -0.0012831739234425077   0.007345009831269762     -0.001767097862860667    -5.939529481593375E-4    0.027291986828747658
-1.96                     -1.92                    4.516927444873919E-6     0.0027759735159617327    -0.003115364710308016    -0.013078130222418369    0.0269024275088367
-1.92                     -1.92                    -8.12318809420347E-4     -8.074150349919595E-4    -0.0042451646126423215   -0.026510131823890018    0.02650643780777752
-1.88                     -1.92                    -0.0019258437181243447   -0.002696540346351484    -0.002572143934795046    -0.039456814347001684    0.02610250555548374
-1.84                     -1.92                    -0.003492678537249754    -0.003649137400529803    9.380960919018189E-4     -0.05198524130413808     0.02568621987539925
-1.8                      -1.92                    -0.007231226580211174    -0.004493177714073404    0.0033557371034307337    -0.06519965446191034     0.02525762264542465
-1.76                     -1.92                    -0.011687519366489135    -0.004626966602835468    0.008880367605698325     -0.07690903637021508     0.024815387611050538
-1.72                     -1.92                    -0.018287545966127243    -0.004737171168004855    0.013112550149743996     -0.08919920794673239     0.024359264665112665
-1.68                     -1.92                    -0.026844019143147636    -0.004709425719003681    0.017727748105621707     -0.1010873561095127      0.023889109591418364
